season,game_code,team_a_code,team_a_name,team_b_code,team_b_name,actual_quarter,final_score_a,final_score_b,total_plays,is_live
E2025,309,MIL,EA7 Emporio Armani Milan,TEL,Maccabi Rapyd Tel Aviv,4,96,87,595,False
E2025,310,BAR,FC Barcelona,HTA,Hapoel IBI Tel Aviv,4,75,80,503,False
E2025,311,MUN,FC Bayern Munich,DUB,Dubai Basketball,4,74,87,467,False
E2025,312,HTA,Hapoel IBI Tel Aviv,VIR,Virtus Bologna,4,109,91,533,False
E2025,313,OLY,Olympiacos Piraeus,BAS,Kosner Baskonia Vitoria-Gasteiz,4,90,80,543,False
E2025,314,PRS,Paris Basketball,PAR,Partizan Mozzart Bet Belgrade,4,81,90,631,False
E2025,315,PAM,Valencia Basket,BAR,FC Barcelona,4,62,66,523,False
E2025,316,IST,Anadolu Efes Istanbul,MCO,AS Monaco,4,93,98,547,False
E2025,317,ULK,Fenerbahce Beko Istanbul,MIL,EA7 Emporio Armani Milan,4,79,75,519,False
E2025,318,ASV,LDLC ASVEL Villeurbanne,TEL,Maccabi Rapyd Tel Aviv,4,85,89,585,False
E2025,319,PAN,Panathinaikos AKTOR Athens,RED,Crvena Zvezda Meridianbet Belgrade,4,82,74,521,False
E2025,320,ZAL,Zalgiris Kaunas,MAD,Real Madrid,4,87,85,539,False
E2025,321,MCO,AS Monaco,MIL,EA7 Emporio Armani Milan,4,90,85,493,False
E2025,322,DUB,Dubai Basketball,PAN,Panathinaikos AKTOR Athens,4,104,107,526,False
E2025,323,BAR,FC Barcelona,IST,Anadolu Efes Istanbul,4,78,71,471,False
E2025,324,TEL,Maccabi Rapyd Tel Aviv,ULK,Fenerbahce Beko Istanbul,4,94,89,664,False
E2025,325,PAR,Partizan Mozzart Bet Belgrade,ASV,LDLC ASVEL Villeurbanne,4,79,78,563,False
