season,game_code,team_a_code,team_a_name,team_b_code,team_b_name,actual_quarter,final_score_a,final_score_b,total_plays,is_live
E2026,1,RED,Crvena Zvezda Meridianbet Belgrade,ZAL,Zalgiris Kaunas,4,77,83,690,False
E2026,2,DUB,Dubai Basketball,MAD,Real Madrid,4,78,77,557,False
E2026,3,HTA,Hapoel IBI Tel Aviv,MUN,FC Bayern Munich,4,84,86,529,False
E2026,4,BAR,FC Barcelona,IST,Anadolu Efes Istanbul,4,89,82,528,False
E2026,5,BAS,Kosner Baskonia Vitoria-Gasteiz,OLY,Olympiacos Piraeus,4,89,106,589,False
E2026,6,ASV,LDLC ASVEL Villeurbanne,TEL,Maccabi Rapyd Tel Aviv,4,84,74,581,False
E2026,7,PAN,Panathinaikos AKTOR Athens,PRS,Paris Basketball,4,91,72,607,False
